localadmin_id|localadmin_name|locality_id|locality_name|lat|lon
404496573|Newport|85938323|Old Mill Creek|42.432726|-87.978513
404496573|Newport|85938625|Wadsworth|42.44426|-87.919449
404496575|Adams|85939103|Leland|41.615963|-88.798309
404496577|Allen|85939079|Ransom|41.158562|-88.654186
404496581|Earl|85939057|Earlville|41.588068|-88.922954
404496593|Richland|85939099|Leonore|41.188903|-88.982272
404496597|South Jacksonville No. 4|85940961|South Jacksonville|39.702557|-90.229198
404496601|Waverly No. 2|85940959|Waverly|39.592574|-89.952335
404496605|East Nelson|85940305|Allenville|39.558655|-88.538882
404496615|Monroe|85939759|Monroe Center|42.100118|-88.994658
404496629|Peoria City|85940007|Peoria|40.751585|-89.615218
404496629|Peoria City|85939401|Peoria Heights|40.762813|-89.557351
404496637|Du Quoin No. 3|85938763|Du Quoin|38.001871|-89.232281
404496647|Tamaroa No. 2|85938755|Tamaroa|38.136342|-89.229266
404496653|Detroit|85939649|Detroit|39.620147|-90.67596
404496653|Detroit|85939643|Florence|39.628692|-90.610697
404496663|Coral|85938971|Union|42.23143|-88.544689
404496667|Richmond|85938981|Richmond|42.463963|-88.308828
404496667|Richmond|85938977|Spring Grove|42.454609|-88.240398
404496669|Allin|85939507|Stanford|40.431802|-89.220841
404496673|Bloomington City|85939457|Bloomington|40.475673|-88.970036
404496679|Dawson|85939439|Ellsworth|40.449546|-88.716102
404496685|Mount Hope|85939513|McLean|40.315517|-89.170312
404496687|Randolph|85939433|Heyworth|40.315295|-88.97775
404496691|Friends Creek|85940087|Argenta|39.98512|-88.820151
404496695|Illini|85940063|Warrensburg|39.931761|-89.061867
404496699|Pleasant View|85940085|Blue Mound|39.700543|-89.118573
404496701|Barr|85939899|Hettick|39.355736|-90.037407
404496707|Nilwood|85939879|Nilwood|39.399507|-89.807736
404496707|Nilwood|85939853|Standard City|39.350366|-89.7836
404496717|Collinsville|85940699|Collinsville|38.676776|-90.005287
404496717|Collinsville|85940333|Maryville|38.726374|-89.964299
404496719|Granite City|85940695|Madison|38.702123|-90.147602
404496719|Granite City|85940349|Granite City|38.729667|-90.126258
404496725|Nameoki|85940329|Pontoon Beach|38.720785|-90.059746
404496731|Saline|85940347|Grantfork|38.828766|-89.667236
404496731|Saline|85940339|Highland|38.761136|-89.681296
404496735|Haines|85939687|Kell|38.491308|-88.903291
404496741|Bell Plain|85938937|La Rose|40.978732|-89.234954
404496751|Allens Grove|85938811|San Jose|40.305984|-89.604041
404496755|Sherman|85940575|Easton|40.232079|-89.841584
